"","CD8T","CD4T","NK","Bcell","Mono","Neu"
"A14FEN",0.0655,0.1513,0.0477,0.0448,0.0501,0.676
"A13695",0.1274,0.144,0.114,0.0662,0.0776,0.5013
"A13BLX",0.0778,0.1134,0.0757,0.0514,0.0686,0.6512
"A13J5X",0.0808,0.2128,0.104,0.0676,0.0993,0.4799
"A13HHH",0,0.0617,0.046,0.0363,0.0417,0.8403
"A13TBG",0.0173,0.0167,0.0408,0.0212,0.0523,0.8745
"A16QU1",0.079,0.1194,0.0736,0.0576,0.0597,0.6555
"A16QLJ",0.0651,0.1785,0.0604,0.05,0.0562,0.6304
"A130M1",0.0732,0.1849,0.0632,0.0508,0.0581,0.6067
"A12QP8",0.1028,0.097,0.1049,0.0447,0.0561,0.6074
"A12UNV",0.1114,0.1446,0.1053,0.0708,0.0808,0.5131
"A12TYD",0.0411,0.1354,0.085,0.0561,0.0437,0.6651
"A12XML",0.0891,0.1592,0.1009,0.0592,0.08,0.552
"A12VUD",0.0629,0.1353,0.088,0.0542,0.0636,0.6339
"A134YZ",0.0494,0.1741,0.0711,0.0992,0.0656,0.5508
"A1637Y",0.0572,0.176,0.0617,0.045,0.068,0.6152
"A16343",0.0495,0.1209,0.0819,0.0277,0.0747,0.664
"A14G6Z",0.0229,0.0975,0.0624,0.0354,0.0684,0.7513
"A14PAQ",0.0761,0.1543,0.1183,0.0753,0.0858,0.5349
"A14U6E",0.0843,0.1375,0.064,0.0336,0.0613,0.6489
"A14QZ7",0.0372,0.1665,0.0911,0.0352,0.0397,0.6612
"A137YN",0.054,0.1063,0.0915,0.0388,0.0824,0.664
"A13BNT",0.0592,0.1705,0.0499,0.0484,0.0991,0.6036
"A13CLT",0.0405,0.2009,0.0877,0.0779,0.0692,0.5627
"A13H64",0.0284,0.1266,0.0725,0.0283,0.0621,0.7108
"A13KDD",0.0211,0.1267,0.051,0.0327,0.0393,0.7858
"A13N3J",0.0435,0.119,0.0351,0.0379,0.06,0.7414
"A12FPH",0.1063,0.1913,0.1054,0.0517,0.0908,0.4787
"A12KN1",0.1136,0.0893,0.1083,0.0535,0.0616,0.5788
"A12P1N",0.0022,0.0928,0.067,0.0333,0.1237,0.6864
"A131Z8",0.019,0.135,0.1174,0.0363,0.0589,0.6829
"A1321Z",0.0695,0.2399,0.1085,0.0555,0.0662,0.4885
"A15ZQK",0.0944,0.1548,0.1519,0.05,0.1227,0.4513
"A162P2",0.1503,0.121,0.0911,0.0505,0.0751,0.5397
"A14ZG9",0.05,0.2162,0.099,0.0847,0.1184,0.472
"A1533D",0.0441,0.1105,0.0791,0.039,0.0491,0.6827
