CpG,logFC,P.Value,adj.P.Val,chr,pos,genes,UCSC_RefGene_Group,Relation_to_Island,n_genes,on_candidate,candidate_genes_hit
cg07018629,0.103621235867167,6.88301597511024e-07,0.327771933520879,chr5,90446250,ADGRV1,Body;Body,OpenSea,1,FALSE,""
cg26650987,-0.180789058911582,1.05733567471877e-06,0.327771933520879,chr5,60458349,C5orf43,TSS200,Island,1,FALSE,""
cg14746387,0.0905525887215453,1.21871710249507e-06,0.327771933520879,chr5,172879299,"","",OpenSea,0,FALSE,""
cg01784614,0.108836705808967,4.64149119472727e-06,0.694061076650351,chr5,40841298,CARD6,TSS200,OpenSea,1,FALSE,""
cg14863376,-0.05782742263994,5.15390270787606e-06,0.694061076650351,chr8,128310635,CASC21|CASC8,Body;Body,OpenSea,2,FALSE,""
cg00308159,-0.0858249328505471,5.21180178974804e-06,0.694061076650351,chr22,28198591,MN1,TSS1500,Island,1,FALSE,""
cg21084142,0.0959031570189894,7.7675582193571e-06,0.694061076650351,chr1,48938000,SPATA6,TSS200;TSS200;TSS200,S_Shore,1,FALSE,""
cg02607810,-0.0644233549291029,7.78938511918376e-06,0.694061076650351,chr7,84671582,SEMA3D,Body,OpenSea,1,FALSE,""
cg19474052,0.0639312783085543,8.7425986145188e-06,0.694061076650351,chr11,47471354,RAPSN,TSS1500;TSS1500,OpenSea,1,FALSE,""
cg03621539,0.103488467410088,1.0793332077748e-05,0.694061076650351,chr9,110897230,"","",OpenSea,0,FALSE,""
cg01992107,-0.216722629387821,1.12258011273551e-05,0.694061076650351,chr6,150311305,"","",Island,0,FALSE,""
cg06317358,-0.190625479453971,1.24912189877282e-05,0.694061076650351,chr20,2644206,IDH3B,5'UTR;Body;Body,N_Shore,1,FALSE,""
cg10559226,-0.102982440853842,1.34271509957566e-05,0.694061076650351,chr17,39929221,JUP,5'UTR;5'UTR,OpenSea,1,FALSE,""
cg00237010,-0.0992330620065718,1.43430147591429e-05,0.694061076650351,chr12,772861,NINJ2,TSS200,OpenSea,1,FALSE,""
cg02341571,0.0668833437390602,1.45298530522462e-05,0.694061076650351,chr15,44968935,PATL2,5'UTR,OpenSea,1,FALSE,""
cg24732123,-0.0958781686434747,1.48575878999383e-05,0.694061076650351,chr5,133370289,"","",OpenSea,0,FALSE,""
cg06060853,-0.0782856813100335,1.49428666482934e-05,0.694061076650351,chr20,61426880,C20orf20,TSS1500,Island,1,FALSE,""
cg14563165,0.0682844576509657,1.59757327987688e-05,0.694061076650351,chr9,130214037,LRSAM1|RPL12,TSS1500;1stExon;5'UTR;5'UTR;TSS1500,Island,2,FALSE,""
cg05099508,0.0939390175795056,1.77065202242281e-05,0.694061076650351,chr10,22634432,SPAG6,1stExon;5'UTR;5'UTR;1stExon,Island,1,FALSE,""
cg14335029,-0.0823346420640606,1.97874512584188e-05,0.694061076650351,chr9,134277886,"","",OpenSea,0,FALSE,""
cg05207730,0.118189958852176,1.9920557384901e-05,0.694061076650351,chr11,116797991,SIK3,Body;Body;Body,OpenSea,1,FALSE,""
cg10617037,-0.057505940297264,2.03944865792705e-05,0.694061076650351,chr8,145690381,CYHR1|KIFC2,1stExon;TSS1500;5'UTR;5'UTR;5'UTR,N_Shore,2,FALSE,""
cg06992147,0.0868613652150219,2.05546523017065e-05,0.694061076650351,chr1,30584396,"","",OpenSea,0,FALSE,""
cg20871509,0.0497177074940183,2.30814400837224e-05,0.694061076650351,chr11,76812596,CAPN5|OMP,Body;TSS1500,N_Shore,2,FALSE,""
cg09284275,0.0615319678397001,2.31254364386884e-05,0.694061076650351,chr16,15923487,MYH11,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg00109271,-0.0719282025844575,2.32432250165495e-05,0.694061076650351,chr3,8501152,LMCD1-AS1,Body,OpenSea,1,FALSE,""
cg01106412,0.0843964164846109,2.38685427664832e-05,0.694061076650351,chr7,25020404,OSBPL3,TSS1500;TSS1500;TSS1500;TSS1500,N_Shore,1,FALSE,""
cg13925975,0.136619830865976,2.53749000810607e-05,0.694061076650351,chr5,140502124,PCDHB4,1stExon,N_Shore,1,FALSE,""
cg13550546,-0.0696654600325622,2.54390280029224e-05,0.694061076650351,chr12,117747991,NOS1,TSS1500;Body;Body,OpenSea,1,FALSE,""
cg03016083,0.0956296098352405,2.58064836486692e-05,0.694061076650351,chr4,57956430,IGFBP7,Body;Body,OpenSea,1,FALSE,""
cg19585816,0.0760460660348137,2.89451140522048e-05,0.702052474847431,chr8,41754742,ANK1,TSS1500,Island,1,FALSE,""
cg08209379,-0.133562231226676,2.91023095309848e-05,0.702052474847431,chr19,5387369,"","",OpenSea,0,FALSE,""
cg11938453,0.0766697044868238,2.94889517204369e-05,0.702052474847431,chr12,56615706,RNF41,TSS200;5'UTR;1stExon;TSS200,Island,1,FALSE,""
cg08275631,0.112576353831263,2.98584506378884e-05,0.702052474847431,chr13,75843817,"","",OpenSea,0,FALSE,""
cg19548283,0.101079601635116,3.09237425674196e-05,0.702052474847431,chr14,58764383,FLJ31306|ARID4A,Body;Body;TSS1500;TSS1500;TSS1500,N_Shore,2,FALSE,""
cg26347197,-0.245485587460706,3.13243424629359e-05,0.702052474847431,chr1,84326669,"","",Island,0,FALSE,""
cg10810804,0.0948537881843582,3.45689386835746e-05,0.750930886962459,chr16,1200097,"","",Island,0,FALSE,""
cg05766896,0.0653002339528063,3.53666115605518e-05,0.750930886962459,chr1,157789933,FCRL1,5'UTR;5'UTR;1stExon;5'UTR;1stExon;1stExon,OpenSea,1,FALSE,""
cg10551649,0.0799982046544908,3.83236974549963e-05,0.754154130618188,chr11,911464,CHID1,5'UTR;TSS1500;TSS1500;TSS1500;TSS1500,Island,1,FALSE,""
cg23648810,0.107736120535633,3.8619211651066e-05,0.754154130618188,chr10,30337992,KIAA1462,5'UTR,OpenSea,1,FALSE,""
cg03636183,-0.108687473081321,3.87217746439862e-05,0.754154130618188,chr19,17000585,F2RL3,Body,N_Shore,1,FALSE,""
cg19259111,0.081364267543366,4.20315261423204e-05,0.754154130618188,chr11,46478214,AMBRA1,Body,OpenSea,1,FALSE,""
cg24885055,0.0608061547109486,4.40408529119997e-05,0.754154130618188,chr2,163175046,IFIH1,TSS200,OpenSea,1,FALSE,""
cg02928699,-0.0852344205158615,4.48917984491532e-05,0.754154130618188,chr11,88241946,GRM5,Body;Body,Island,1,FALSE,""
cg10103266,-0.063577313433246,4.49238501979183e-05,0.754154130618188,chr2,176977458,"","",Island,0,FALSE,""
cg10242541,0.0981458131146253,4.50517557758412e-05,0.754154130618188,chr14,76842254,ESRRB,5'UTR,N_Shore,1,FALSE,""
cg12816842,-0.0909974765828676,4.61013863544574e-05,0.754154130618188,chr18,75611816,"","",N_Shore,0,FALSE,""
cg04155348,0.0703188278244437,4.65683018175582e-05,0.754154130618188,chr1,33647286,TRIM62,5'UTR;1stExon,Island,1,FALSE,""
cg05201300,-0.0639537718196779,4.66583557913802e-05,0.754154130618188,chr5,172443740,ATP6V0E1,Body,OpenSea,1,FALSE,""
cg14384968,0.136737241302226,4.73387452654095e-05,0.754154130618188,chr8,4850966,CSMD1,Body,Island,1,FALSE,""
cg16516712,-0.0458966473684388,4.83991559900861e-05,0.754154130618188,chr11,70557445,SHANK2,Body,OpenSea,1,FALSE,""
cg01285862,0.0493344451774681,4.95740419334352e-05,0.754154130618188,chr5,153414365,FAM114A2,Body,N_Shelf,1,FALSE,""
cg21380842,0.0390069939957926,5.17627726868632e-05,0.754154130618188,chr21,39288830,KCNJ6,TSS200,Island,1,FALSE,""
cg04984616,0.0475623616277064,5.29733964949917e-05,0.754154130618188,chr13,52980394,THSD1,5'UTR;5'UTR;1stExon;1stExon,Island,1,FALSE,""
cg01300942,-0.0767612643137064,5.36393862891968e-05,0.754154130618188,chr11,61109877,TKFC,Body,S_Shelf,1,FALSE,""
cg09012602,-0.0644569857467129,5.40540480593086e-05,0.754154130618188,chr20,61667737,LINC00029|LOC63930,Body;Body,S_Shore,2,FALSE,""
cg10983873,0.0505098282845855,5.4414584404498e-05,0.754154130618188,chr1,59275055,LINC01135,Body;Body;Body,OpenSea,1,FALSE,""
cg22829821,0.0716754365178193,5.46399069445896e-05,0.754154130618188,chr6,30434421,"","",Island,0,FALSE,""
cg14076056,0.0704682003383885,5.51470154818746e-05,0.754154130618188,chr22,29935389,THOC5,Body;Body;Body;Body,OpenSea,1,FALSE,""
cg21064727,-0.0698257211585615,6.04100547236617e-05,0.766761580756231,chr4,48988506,CWH43,TSS200;Body,Island,1,FALSE,""
cg08506127,-0.0745271651035359,6.41386464540992e-05,0.766761580756231,chr2,87018958,CD8A,TSS200;5'UTR;TSS200;TSS200,S_Shore,1,FALSE,""
cg07769074,0.117024262351319,6.48843730543014e-05,0.766761580756231,chr7,150497760,TMEM176B|TMEM176A,TSS200;TSS200;TSS200;5'UTR;TSS200,Island,2,FALSE,""
cg09006543,0.0717503966503385,6.53225796298264e-05,0.766761580756231,chr13,32828759,FRY,Body,OpenSea,1,FALSE,""
cg05833905,0.108436329490125,6.56481886639012e-05,0.766761580756231,chr6,123701533,TRDN,Body;Body,OpenSea,1,FALSE,""
cg05251187,-0.0690062583182002,6.64929765185857e-05,0.766761580756231,chr7,35244141,TBX20,Body,OpenSea,1,FALSE,""
cg11869510,-0.100601228590663,6.70208948905133e-05,0.766761580756231,chr17,65990431,C17orf58,TSS1500;TSS1500,S_Shore,1,FALSE,""
cg26975848,0.118433225029339,6.76032094673436e-05,0.766761580756231,chr2,104961016,"","",OpenSea,0,FALSE,""
cg24783070,-0.103590377102106,6.98971351635887e-05,0.766761580756231,chr2,219697367,PRKAG3,TSS1500,OpenSea,1,FALSE,""
cg06082920,0.108580161561684,7.04170491783641e-05,0.766761580756231,chr1,51796003,TTC39A,Body,N_Shore,1,FALSE,""
cg14378348,-0.0772084030290659,7.17724196980444e-05,0.766761580756231,chr4,1029410,"","",Island,0,FALSE,""
cg14368930,-0.120741952291272,7.2660807711582e-05,0.766761580756231,chr4,116585561,"","",OpenSea,0,FALSE,""
cg01834979,-0.103290468702797,7.32618116944464e-05,0.766761580756231,chr12,58119918,AGAP2|LOC100130776,3'UTR;TSS200;3'UTR,Island,2,FALSE,""
cg10417840,-0.0680045875541341,7.3569249044699e-05,0.766761580756231,chr4,74375460,LOC728040,ExonBnd;Body,OpenSea,1,FALSE,""
cg20708537,0.105543544035173,7.41043629032246e-05,0.766761580756231,chr19,17938796,JAK3,Body,N_Shelf,1,FALSE,""
cg15490095,-0.150269312051765,7.42764804636126e-05,0.766761580756231,chr12,105089686,CHST11,Body;Body,OpenSea,1,FALSE,""
cg03809021,0.147751856400224,7.44649076395397e-05,0.766761580756231,chr16,89831123,FANCA,Body,OpenSea,1,FALSE,""
cg22828473,-0.0677436307153516,7.51880978501444e-05,0.766761580756231,chr12,44408643,TMEM117,5'UTR;Body;Body;Body,OpenSea,1,FALSE,""
cg05659187,0.095816464567044,7.61430662243402e-05,0.766761580756231,chr2,70995522,ADD2,TSS200;TSS200;TSS200;TSS200;TSS200,S_Shore,1,FALSE,""
cg07638890,0.0614105058009514,7.73513811276716e-05,0.766761580756231,chr5,124006535,ZNF608,Body,OpenSea,1,FALSE,""
cg11649715,0.164019044518128,7.77005219215343e-05,0.766761580756231,chr1,119543440,"","",Island,0,FALSE,""
cg09233791,0.0691902201108646,7.86371553990595e-05,0.766761580756231,chr6,166908811,RPS6KA2,Body;Body,OpenSea,1,FALSE,""
cg20817073,-0.120934737849978,8.26521719326e-05,0.766761580756231,chr21,15071306,"","",S_Shore,0,FALSE,""
cg06900216,0.128958681305304,8.29100937019129e-05,0.766761580756231,chr7,98335180,"","",OpenSea,0,FALSE,""
cg13793064,0.0683791055466569,8.34015656160207e-05,0.766761580756231,chr14,23421652,HAUS4|LOC101926933,Body;Body;Body;ExonBnd;ExonBnd;ExonBnd;Body,OpenSea,2,FALSE,""
cg09528520,0.0459911259198372,8.48354151647033e-05,0.766761580756231,chr2,191301883,MFSD6,Body,OpenSea,1,FALSE,""
cg08355659,0.0767033993496475,8.53961544771931e-05,0.766761580756231,chr12,54399190,"","",N_Shore,0,FALSE,""
cg19991780,0.0841701265006344,8.65638287659497e-05,0.766761580756231,chr3,128533372,RAB7A,3'UTR,OpenSea,1,FALSE,""
cg15737787,-0.050521002297005,8.99751996792873e-05,0.766761580756231,chr3,9140574,SRGAP3,Body;Body,OpenSea,1,FALSE,""
cg02644266,-0.0585131423641551,9.16233404065885e-05,0.766761580756231,chr16,11749445,"","",OpenSea,0,FALSE,""
cg14996985,0.14180550971419,9.31104568285757e-05,0.766761580756231,chr5,92456475,"","",OpenSea,0,FALSE,""
cg25219415,0.0521027981647119,9.37017442407872e-05,0.766761580756231,chr11,34663681,EHF,5'UTR;5'UTR;Body,OpenSea,1,FALSE,""
cg11847933,-0.0682658240711946,9.37066133416776e-05,0.766761580756231,chr1,227130394,CABC1,5'UTR,S_Shore,1,FALSE,""
cg23332027,0.0979905251462882,9.40486016410081e-05,0.766761580756231,chr3,13681764,"","",S_Shelf,0,FALSE,""
cg15215842,-0.0661578119320012,9.47585037895139e-05,0.766761580756231,chr10,99689996,CRTAC1,Body;Body,OpenSea,1,FALSE,""
cg08270236,0.080716560790985,9.68098860618464e-05,0.766761580756231,chr4,160027432,"","",S_Shore,0,FALSE,""
cg27581040,-0.0602383154196209,9.76866865550616e-05,0.766761580756231,chr4,190213600,"","",OpenSea,0,FALSE,""
cg01961560,-0.0835973586411036,9.77170194591645e-05,0.766761580756231,chr19,42914501,LIPE,Body,Island,1,FALSE,""
cg12724357,0.133708082547434,9.8076723801707e-05,0.766761580756231,chr11,66790285,SYT12,TSS1500,N_Shore,1,FALSE,""
cg13259821,-0.0435815765863988,9.86322876919529e-05,0.766761580756231,chr2,190305888,WDR75,TSS1500,N_Shore,1,FALSE,""
cg00455904,-0.0873767215282834,9.97605356188621e-05,0.766761580756231,chr1,29218841,EPB41,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,OpenSea,1,FALSE,""
cg25466021,-0.0546724713236739,0.000103989510738431,0.766761580756231,chr15,100510236,"","",OpenSea,0,FALSE,""
cg16069079,-0.114347653036495,0.000105328759194651,0.766761580756231,chr15,41219238,"","",Island,0,FALSE,""
cg16521160,-0.0699503795400744,0.000107294628582547,0.766761580756231,chr21,46682621,"","",N_Shelf,0,FALSE,""
cg07346805,0.0782220460272942,0.000107476536684615,0.766761580756231,chr1,229118557,"","",OpenSea,0,FALSE,""
cg25395304,-0.362629274939304,0.000110490775041924,0.766761580756231,chr19,44645746,ZNF234,1stExon;5'UTR;1stExon;5'UTR,Island,1,FALSE,""
cg04426031,-0.0603625046698492,0.000114198657228136,0.766761580756231,chr7,1799192,"","",OpenSea,0,FALSE,""
cg04845985,0.0920676304177053,0.00011471324897783,0.766761580756231,chr19,18548229,ISYNA1,TSS200;Body;Body;Body;Body,Island,1,FALSE,""
cg16499829,-0.0896452825106176,0.000115981987690889,0.766761580756231,chr12,95946131,USP44,TSS1500,S_Shelf,1,FALSE,""
cg18879793,0.0658196801345271,0.000116785489494665,0.766761580756231,chr1,156468722,MEF2D,5'UTR,N_Shore,1,FALSE,""
cg20506184,0.0703597115866638,0.000117600932299676,0.766761580756231,chr10,7453329,SFMBT2,1stExon;5'UTR,Island,1,FALSE,""
cg26678313,0.0460541249414388,0.000118307169502795,0.766761580756231,chr12,57521867,LRP1,TSS1500,Island,1,FALSE,""
cg26376534,-0.0877126249783594,0.000119302900613113,0.766761580756231,chr11,130066471,ST14,ExonBnd;Body,OpenSea,1,FALSE,""
cg07396867,-0.0694104891699121,0.000119863371824864,0.766761580756231,chr13,110986776,COL4A2,Body,OpenSea,1,FALSE,""
